pbs_code,prescribing_txt_id,pt_position,schedule_code
"10333W","7607","2","4535"
"10334X","7606","1","4535"
"10334X","7607","2","4535"
"10341G","28980","1","4535"
"10343J","9552","1","4535"
"10343J","23717","2","4535"
"10343J","23729","3","4535"
"10343J","23730","4","4535"
"10343J","7606","5","4535"
"10347N","32715","1","4535"
"10356C","25796","1","4535"
"10358E","28980","1","4535"
"10367P","21334","1","4535"
"10373Y","12375","1","4535"
"10373Y","29786","2","4535"
"10373Y","28500","3","4535"
"10373Y","26357","4","4535"
"10373Y","7607","5","4535"
"10373Y","7608","6","4535"
"10374B","12375","1","4535"
"10374B","29786","2","4535"
"10374B","28500","3","4535"
"10374B","26357","4","4535"
"10374B","7607","5","4535"
"10374B","7608","6","4535"
"10378F","25796","1","4535"
"10382K","7606","1","4535"
"10382K","7607","2","4535"
"10382K","7608","3","4535"
"10383L","7607","1","4535"
"10383L","24626","2","4535"
"10383L","28501","3","4535"
"10384M","29247","1","4535"
"10384M","7608","2","4535"
"10386P","16840","1","4535"
"10386P","30079","2","4535"
"10387Q","16840","1","4535"
"10387Q","30079","2","4535"
"10390W","31329","1","4535"
"10390W","7608","2","4535"
"10391X","7607","1","4535"
"10391X","24626","2","4535"
"10391X","28496","3","4535"
"10398G","29247","1","4535"
"10398G","7608","2","4535"
"10399H","27279","1","4535"
"10399H","27049","2","4535"
"10399H","28500","3","4535"
"10400J","27279","1","4535"
"10400J","27048","2","4535"
"10400J","28500","3","4535"
"10401K","7607","1","4535"
"10401K","24626","2","4535"
"10401K","28501","3","4535"
"10402L","7607","1","4535"
"10402L","24626","2","4535"
"10402L","28496","3","4535"
"10403M","7606","1","4535"
"10403M","7607","2","4535"
"10403M","7608","3","4535"
"10406Q","16840","1","4535"
"10406Q","30079","2","4535"
"10407R","30935","1","4535"
"10407R","26589","2","4535"
"10407R","11532","3","4535"
"10407R","7606","4","4535"
"10407R","7607","5","4535"
"10412B","27279","1","4535"
"10412B","27049","2","4535"
"10412B","33720","3","4535"
"10412B","7607","4","4535"
"10413C","27279","1","4535"
"10413C","33164","2","4535"
"10413C","29791","3","4535"
"10413C","34034","4","4535"
"10413C","27048","5","4535"
"10413C","33720","6","4535"
"10413C","7607","7","4535"
"10414D","7606","1","4535"
"10414D","7607","2","4535"
"10415E","31329","1","4535"
"10415E","7608","2","4535"
"10416F","29338","1","4535"
"10416F","7606","2","4535"
"10416F","7607","3","4535"
"10417G","16840","1","4535"
"10417G","30079","2","4535"
"10418H","30935","1","4535"
"10418H","26589","2","4535"
"10418H","11532","3","4535"
"10418H","7606","4","4535"
"10418H","7607","5","4535"
"10419J","27279","1","4535"
"10419J","33164","2","4535"
"10419J","29791","3","4535"
"10419J","34034","4","4535"
"10419J","27049","5","4535"
"10419J","33720","6","4535"
"10419J","7607","7","4535"
"10420K","27279","1","4535"
"10420K","27048","2","4535"
"10420K","33720","3","4535"
"10420K","7607","4","4535"
"10424P","7607","1","4535"
"10424P","7608","2","4535"
"10424P","25071","3","4535"
"10425Q","31110","1","4535"
"10425Q","7606","2","4535"
"10425Q","7607","3","4535"
"10425Q","7608","4","4535"
"10426R","28584","1","4535"
"10427T","28584","1","4535"
"10428W","28584","1","4535"
"10430Y","28584","1","4535"
"10431B","28584","1","4535"
"10432C","28584","1","4535"
"10434E","28584","1","4535"
"10435F","28584","1","4535"
"10436G","7607","1","4535"
"10436G","7608","2","4535"
"10436G","25071","3","4535"
"10441M","28584","1","4535"
"10442N","28584","1","4535"
"10443P","28584","1","4535"
"10446T","28584","1","4535"
"10449Y","28584","1","4535"
"10451C","28584","1","4535"
"10453E","28584","1","4535"
"10454F","28584","1","4535"
"10456H","28584","1","4535"
"10457J","28584","1","4535"
"10458K","28584","1","4535"
"10459L","7606","1","4535"
"10459L","7607","2","4535"
"10460M","11595","1","4535"
"10462P","28584","1","4535"
"10463Q","28584","1","4535"
"10465T","7607","1","4535"
"10467X","28584","1","4535"
"10472E","28584","1","4535"
"10474G","33040","1","4535"
"10474G","13099","2","4535"
"10474G","25796","3","4535"
"10474G","7606","4","4535"
"10474G","7607","5","4535"
"10474G","7608","6","4535"
"10475H","25071","1","4535"
"10475H","7607","2","4535"
"10475H","7608","3","4535"
"10477K","28584","1","4535"
"10479M","28584","1","4535"
"10480N","28584","1","4535"
"10481P","28584","1","4535"
"10483R","28584","1","4535"
"10484T","28584","1","4535"
"10485W","28584","1","4535"
"10486X","33040","1","4535"
"10486X","13099","2","4535"
"10486X","25796","3","4535"
"10486X","7606","4","4535"
"10486X","7607","5","4535"
"10486X","7608","6","4535"
"10488B","28584","1","4535"
"10489C","28584","1","4535"
"10490D","28584","1","4535"
"10492F","33040","1","4535"
"10492F","13099","2","4535"
"10492F","25796","3","4535"
"10492F","7606","4","4535"
"10492F","7607","5","4535"
"10492F","7608","6","4535"
"10493G","25071","1","4535"
"10493G","7607","2","4535"
"10493G","7608","3","4535"
"10494H","31110","1","4535"
"10494H","7606","2","4535"
"10494H","7607","3","4535"
"10494H","7608","4","4535"
"10495J","28584","1","4535"
"10496K","28584","1","4535"
"10497L","28584","1","4535"
"10498M","28584","1","4535"
"10500P","28584","1","4535"
"10501Q","28584","1","4535"
"10504W","7606","1","4535"
"10504W","7607","2","4535"
"10505X","26425","1","4535"
"10505X","29786","2","4535"
"10505X","28500","3","4535"
"10505X","26357","4","4535"
"10505X","7607","5","4535"
"10505X","7608","6","4535"
"10506Y","28584","1","4535"
"10507B","28584","1","4535"
"10510E","32002","1","4535"
"10511F","31231","1","4535"
"10511F","7606","2","4535"
"10511F","7607","3","4535"
"10511F","7608","4","4535"
"10512G","28584","1","4535"
"10514J","28584","1","4535"
"10515K","32002","1","4535"
"10516L","32002","1","4535"
"10517M","31231","1","4535"
"10517M","7606","2","4535"
"10517M","7607","3","4535"
"10517M","7608","4","4535"
"10518N","28584","1","4535"
"10519P","28584","1","4535"
"10520Q","28585","1","4535"
"10530F","28585","1","4535"
"10540R","7607","1","4535"
"10540R","7608","2","4535"
"10541T","25796","1","4535"
"10551H","9950","1","4535"
"10551H","17975","2","4535"
"10551H","7606","3","4535"
"10551H","7607","4","4535"
"10572K","7607","1","4535"
"10572K","7608","2","4535"
"10573L","16639","1","4535"
"10577Q","7708","1","4535"
"10577Q","7709","2","4535"
"10581X","7607","1","4535"
"10581X","24626","2","4535"
"10581X","23973","3","4535"
"10587F","7708","1","4535"
"10587F","7709","2","4535"
"10588G","7607","1","4535"
"10588G","24661","2","4535"
"10588G","23973","3","4535"
"10589H","7607","1","4535"
"10589H","24626","2","4535"
"10589H","23973","3","4535"
"10597R","7607","1","4535"
"10597R","24661","2","4535"
"10597R","23973","3","4535"
