li_item_id,percentage_applied,event_type_code,schedule_code
"10921T_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"10921T_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"10924Y_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"10924Y_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"10925B_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"10925B_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"10925B_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"10925B_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"10933K_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"10933K_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"10933K_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"10933K_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"10935M_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"10935M_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"10935M_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"10935M_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"10939R_21070_1130_41223_41225","35.75","SPR_SINGLE_PD","4535"
"10939R_21070_1130_41223_41558","35.75","SPR_SINGLE_PD","4535"
"10939R_21070_1130_41223_42214","35.75","SPR_SINGLE_PD","4535"
"10939R_21070_1130_41223_59220","35.75","SPR_SINGLE_PD","4535"
"10940T_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"10940T_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"10941W_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"10941W_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"10942X_21069_1130_41218_41220","35.75","SPR_SINGLE_PD","4535"
"10942X_21069_1130_41218_58944","35.75","SPR_SINGLE_PD","4535"
"11029L_11577_1344_5822_55212","40.18","SPR_SINGLE_PD","4535"
"11029L_11577_1344_5822_55214","40.18","SPR_SINGLE_PD","4535"
"11029L_11577_1344_5822_55215","40.18","SPR_SINGLE_PD","4535"
"11029L_11577_1344_5822_56350","40.18","SPR_SINGLE_PD","4535"
"11029L_11577_1344_5822_7094","40.18","SPR_SINGLE_PD","4535"
"11036W_11577_1344_5822_55212","40.18","SPR_SINGLE_PD","4535"
"11036W_11577_1344_5822_55214","40.18","SPR_SINGLE_PD","4535"
"11036W_11577_1344_5822_55215","40.18","SPR_SINGLE_PD","4535"
"11036W_11577_1344_5822_56350","40.18","SPR_SINGLE_PD","4535"
"11036W_11577_1344_5822_7094","40.18","SPR_SINGLE_PD","4535"
